Vgg19 training N images:4508 time:19.809, models 6
Vgg19 Supervisor training N images:1653 time:781.392, models 6
Labeling test set:
 AN, CE, DS, HP, NE, SA, SC, SR,
Vgg19 test N images:11125, models 6
    TestFolder    Accuracy    BestGuess    GuessScore      AN          CE          DS          HP          NE          SA          SC          SR   
    __________    ________    _________    __________    _______    _________    _______    ________    ________    ________    ________    ________

       "AN"       0.28961       "AN"        0.28961      0.28961     0.017204    0.27455    0.037276    0.076703     0.12903     0.05233      0.1233
       "CE"       0.48943       "CE"        0.48943       0.1148      0.48943    0.18656     0.02719    0.018882     0.10196    0.016616    0.044562
       "DS"       0.54832       "DS"        0.54832      0.17609     0.021475    0.54832    0.058697     0.01718    0.076593    0.036507     0.06514
       "HP"       0.40086       "HP"        0.40086      0.15175    0.0093057    0.26127     0.40086    0.020043    0.034359    0.032928    0.089477
       "NE"       0.23239       "NE"        0.23239      0.19085     0.021831    0.19085    0.015493     0.23239     0.17746        0.05     0.12113
       "SA"       0.27922       "SA"        0.27922      0.23088     0.049784    0.17027    0.023088     0.10245     0.27922    0.068543    0.075758
       "SC"       0.19122       "DS"        0.23654       0.1983      0.01204    0.23654     0.03187    0.061615    0.092068     0.19122     0.17635
       "SR"        0.3056       "SR"         0.3056      0.16858     0.015065    0.17073    0.019369    0.055954     0.13128     0.13343      0.3056
