AlexNet training N images:4508 time:11491.343, models 6
AlexNet Supervisor training N images:1653 time:280.891, models 6
Labeling test set:
 AN, CE, DS, HP, NE, SA, SC, SR,
AlexNet test N images:11125, models 6    
TestFolder    Accuracy    BestGuess    GuessScore      AN          CE          DS         HP          NE          SA          SC          SR   
    __________    ________    _________    __________    _______    ________    ________    _______    ________    ________    ________    ________

       "AN"        0.23656      "AN"        0.23656      0.23656    0.070968     0.14337    0.21004    0.070968    0.045161     0.12545    0.097491
       "CE"        0.40257      "CE"        0.40257      0.14275     0.40257     0.10196    0.19789    0.031722    0.036254    0.036254    0.050604
       "DS"        0.26485      "DS"        0.26485       0.1811     0.10523     0.26485    0.22548     0.03078    0.031496    0.096636    0.064424
       "HP"        0.49392      "HP"        0.49392      0.16034    0.060129     0.12026    0.49392     0.02219    0.012169     0.05655    0.074445
       "NE"        0.18873      "HP"        0.22183      0.14366     0.08169    0.092254    0.22183     0.18873    0.070423    0.085915     0.11549
       "SA"       0.066378      "HP"        0.19408      0.18038     0.11111     0.10823    0.19408     0.14069    0.066378     0.11111    0.088023
       "SC"        0.26771      "SC"        0.26771      0.19051    0.055241     0.14943    0.14093     0.06728    0.021246     0.26771     0.10765
       "SR"        0.18723      "SC"        0.20086      0.13271    0.055954     0.11263    0.18795     0.10187    0.020803     0.20086     0.18723

