Incept3 training N images:4508 time:6.843, models 6
Incept3 Supervisor training N images:1653 time:338.644, models 6
Labeling test set:
 AN, CE, DS, HP, NE, SA, SC, SR,
Incept3 test N images:11125, models 6 
 8×12 table

    TestFolder    Accuracy    BestGuess    GuessScore      AN          CE          DS          HP           NE           SA           SC           SR   
    __________    ________    _________    __________    _______    _________    _______    ________    __________    _________    _________    ________

       "AN"       0.35771       "AN"        0.35771      0.35771      0.01147    0.30466    0.082437      0.050896     0.070251     0.072401    0.050179
       "CE"       0.53021       "CE"        0.53021      0.11707      0.53021    0.22734    0.034743    0.00075529     0.059668    0.0098187    0.020393
       "DS"       0.65211       "DS"        0.65211      0.20472    0.0093057    0.65211    0.046528     0.0050107     0.011453      0.03078    0.040086
       "HP"       0.54331       "HP"        0.54331      0.14173    0.0035791    0.21904     0.54331      0.012885    0.0064424     0.013601    0.059413
       "NE"       0.19225       "DS"        0.24718      0.14718     0.019718    0.24718    0.062676       0.19225      0.16127     0.093662    0.076056
       "SA"       0.21717       "DS"        0.28211      0.22367     0.036075    0.28211    0.042569      0.056277      0.21717      0.07215    0.069986
       "SC"        0.2585       "DS"        0.28116       0.2068     0.010623    0.28116    0.055949      0.023371     0.062323       0.2585     0.10127
       "SR"       0.25251       "SR"        0.25251      0.19082    0.0093257    0.21377     0.06528      0.043042      0.05165       0.1736     0.25251

>> 
