Incept3 training N images:4508 time:8.682, models 8
Incept3 Supervisor training N images:1653 time:474.333, models 8
Labeling test set:
 AN, CE, DS, HP, NE, SA, SC, SR,
Incept3 test N images:11125, models 8
  8×12 table

    TestFolder    Accuracy    BestGuess    GuessScore      AN          CE          DS          HP          NE           SA           SC          SR   
    __________    ________    _________    __________    _______    _________    _______    ________    _________    _________    ________    ________

       "AN"       0.35054       "AN"        0.35054      0.35054     0.012186    0.28315    0.085305      0.05233       0.0681    0.071685    0.076703
       "CE"       0.52795       "CE"        0.52795      0.11254      0.52795    0.20468    0.043051            0     0.071752     0.01284     0.02719
       "DS"       0.63278       "DS"        0.63278      0.19542     0.010021    0.63278    0.057981    0.0050107     0.012885     0.02577    0.060129
       "HP"       0.56192       "HP"        0.56192      0.13529    0.0035791    0.19184     0.56192     0.012169    0.0028633    0.014316    0.078024
       "NE"        0.1993       "DS"        0.22394      0.13873      0.01831    0.22394    0.072535       0.1993      0.16056    0.080986     0.10563
       "SA"       0.21356       "DS"        0.25974      0.21573     0.036797    0.25974    0.048341     0.049062      0.21356    0.080087    0.096681
       "SC"       0.25354       "SC"        0.25354      0.20113     0.010623    0.24363    0.063739     0.020538     0.056657     0.25354     0.15014
       "SR"       0.30129       "SR"        0.30129      0.17862    0.0064562    0.18293    0.070301     0.043759      0.05165     0.16499     0.30129

>> 
