Incept3 training N images:4508 time:4771.538, models 12 - 8
Incept3 Supervisor training N images:1653 time:475.130, models 12
Labeling test set:
 AN, CE, DS, HP, NE, SA, SC, SR,
Incept3 test N images:11125, models 12
  8×12 table

    TestFolder    Accuracy    BestGuess    GuessScore      AN          CE          DS          HP          NE           SA           SC          SR   
    __________    ________    _________    __________    _______    _________    _______    ________    _________    _________    ________    ________

       "AN"       0.34265       "AN"        0.34265      0.34265     0.009319     0.2724    0.078136      0.05233     0.078136    0.078136    0.088889
       "CE"        0.5506       "CE"         0.5506      0.10498       0.5506    0.17598    0.046073            0     0.070242    0.024924     0.02719
       "DS"        0.6335       "DS"         0.6335      0.18253     0.007874     0.6335    0.055118    0.0050107     0.010021    0.045812    0.060129
       "HP"       0.56049       "HP"        0.56049      0.13028    0.0042949    0.17466     0.56049     0.010021    0.0050107    0.021475    0.093772
       "NE"       0.20915       "NE"        0.20915      0.12606      0.01338    0.20423    0.071127      0.20915      0.16408    0.097887     0.11408
       "SA"       0.25325       "SA"        0.25325      0.20346     0.032468     0.2316    0.033189      0.05267      0.25325    0.098846    0.094517
       "SC"       0.28045       "SC"        0.28045      0.18555     0.010623    0.21671    0.060198     0.029037     0.058074     0.28045     0.15935
       "SR"       0.32568       "SR"        0.32568      0.16499    0.0064562     0.1736     0.05165     0.035151     0.058106     0.18436     0.32568

>> 
