Incept3 training N images:4508 time:2.908, models 2
Incept3 Supervisor training N images:1653 time:292.015, models 2
Labeling test set:
 AN, CE, DS, HP, NE, SA, SC, SR,
Incept3 test N images:11125, models 2
  8×12 table

    TestFolder    Accuracy    BestGuess    GuessScore      AN          CE         DS          HP          NE           SA           SC           SR   
    __________    ________    _________    __________    _______    ________    _______    ________    _________    _________    _________    ________

       "AN"       0.37204       "AN"        0.37204      0.37204    0.023656     0.2853     0.13405     0.050179      0.05233     0.059498    0.022939
       "CE"       0.53701       "CE"        0.53701      0.15332     0.53701    0.19637    0.064955    0.0067976     0.033988    0.0075529           0
       "DS"       0.55047       "DS"        0.55047      0.26414    0.020043    0.55047     0.10737     0.007874    0.0071582     0.029349    0.013601
       "HP"       0.53114       "HP"        0.53114      0.18611    0.010021    0.22691     0.53114     0.011453    0.0042949    0.0071582    0.022906
       "NE"       0.21056       "DS"        0.23662       0.2007    0.046479    0.23662     0.12746      0.21056      0.10986     0.051408    0.016901
       "SA"       0.15296       "DS"        0.26623      0.25397     0.05772    0.26623    0.098124      0.10462      0.15296     0.051227    0.015152
       "SC"        0.1898       "DS"        0.27195      0.26983    0.022663    0.27195    0.095609     0.050283     0.057365       0.1898    0.042493
       "SR"        0.1241       "AN"        0.22166      0.22166    0.025108    0.20947      0.1363      0.07604      0.05165      0.15567      0.1241

